127.0.0.1 - - [18/Dec/2018:15:07:19 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:07:21 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:07:22 +0530] "GET /InteractionFrontEnd/web/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:07:22 +0530] "GET /InteractionFrontEnd/web/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:07:22 +0530] "GET /InteractionFrontEnd/web/c_user/UserController.js HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:07:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:07:41 +0530] "GET /InteractionFrontEnd/web/c_blog/AddBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:07:42 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:08:13 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:08:14 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:31:22 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:31:24 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:31:25 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:31:31 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:15:39:38 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:00:10 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:16:00:18 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:05:38 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:05:39 +0530] "GET /InteractionFrontEnd/web/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:05:39 +0530] "GET /InteractionFrontEnd/web/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:05:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:06:05 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:06:35 +0530] "GET /InteractionFrontEnd/web/c_user/SignUp.html HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:08:43 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:09:13 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:09:19 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:18:09:42 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 200 3250
