127.0.0.1 - - [13/Dec/2018:16:39:03 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Dec/2018:16:39:03 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [13/Dec/2018:16:39:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Dec/2018:16:40:07 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [13/Dec/2018:16:40:37 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [13/Dec/2018:16:42:30 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [13/Dec/2018:16:43:24 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:44 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:44 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:45 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:45 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:45 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:53 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:54 +0530] "GET /InteractionFrontEnd/web/RouteConfig.js HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:54 +0530] "GET /InteractionFrontEnd/web/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:54 +0530] "GET /InteractionFrontEnd/web/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:57 +0530] "GET /InteractionFrontEnd/web/c_blog/AdminBlogs.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:08:59 +0530] "GET /InteractionFrontEnd/web/c_blog/ShowBlogs.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:00 +0530] "GET /InteractionFrontEnd/web/c_blog/AddBlog.html HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:01 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:08 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:08 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:08 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:09 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:10 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:10 +0530] "GET /InteractionFrontEnd/web/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:11 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:13 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:13 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:14 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:15 +0530] "GET /InteractionFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:16 +0530] "GET /InteractionMiddleware/showAllBlogs HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [13/Dec/2018:17:09:18 +0530] "POST /InteractionMiddleware/addBlog HTTP/1.1" 404 1107
